Barcode,Treatment,Accession,Smarthouse,Position,NapDW,Na_mM,KpDW,K_mM,NapK
51261,S,M197,NE,L9P9,0.42,51,1.58,192.02,0.27
51263,S,M284,NE,L9P11,0.43,50.14,1.75,203.16,0.25
51265,S,M078,NE,L9P13,0.26,32.75,1.54,191.39,0.17
51266,S,M103,NE,L9P14,0.37,49.24,1.3,172.05,0.29
51268,S,M183,NE,L9P16,0.48,52.33,1.54,168.83,0.31
51271,S,M224,NE,L9P19,0.27,31.12,1.77,206.62,0.15
51272,S,M064,NE,L9P20,0.33,40.71,1.42,175.01,0.23
51275,S,M244,NE,L9P23,1.02,102.67,1.58,158.89,0.65
51277,S,M144,NE,L9P25,0.33,43.27,1.54,201.33,0.21
51279,S,M055,NE,L10P2,0.41,48.21,1.47,174.15,0.28
51280,S,M229,NE,L10P3,0.35,44.34,1.35,169.98,0.26
51281,C,M229,NE,L10P4,0.2,23.05,1.48,167.34,0.14
51283,S,M037,NE,L10P6,0.8,93.66,1.88,221.41,0.42
51285,S,M294,NE,L10P8,0.52,64.35,1.44,178.3,0.36
51287,S,M029,NE,L10P10,0.48,57.9,1.34,162.71,0.36
51288,C,M029,NE,L10P11,0.22,24.32,1.46,164.16,0.15
51289,S,M115,NE,L10P12,0.39,52.03,1.33,176.22,0.3
51292,S,M145,NE,L10P15,0.58,64.4,1.47,163.12,0.39
51293,S,M141,NE,L10P16,0.34,44.79,1.46,191.06,0.23
51295,S,M016,NE,L10P18,0.39,50.34,1.35,174.87,0.29
51298,S,M014,NE,L10P21,0.28,39.13,1.59,221.42,0.18
51300,S,M031,NE,L10P23,0.4,52.39,1.27,167.85,0.31
51302,S,M075,NE,L10P25,0.4,52.16,1.58,208.04,0.25
51303,S,M038,NE,L11P1,0.37,44.93,1.53,184.52,0.24
51306,S,M251,NE,L11P4,0.71,78.13,1.55,170.14,0.46
51307,S,M238,NE,L11P5,0.64,68.65,1.36,146.56,0.47
51309,C,M250,NE,L11P7,0.35,38.15,1.54,167.46,0.23
51310,S,M250,NE,L11P8,0.45,60.9,1.22,165.71,0.37
51312,C,M256,NE,L11P10,0.2,25.51,1.37,174.26,0.15
51313,S,M256,NE,L11P11,0.38,50.7,1.36,179.69,0.28
51314,S,M109,NE,L11P12,0.5,65.36,1.39,181.54,0.36
51316,S,M113,NE,L11P14,0.68,79.36,1.34,154.92,0.51
51318,S,M186,NE,L11P16,0.45,53.99,1.65,196.39,0.27
51320,S,M301,NE,L11P18,0.45,51.68,1.54,176.13,0.29
51322,S,M287,NE,L11P20,0.36,49.27,1.24,170.55,0.29
51324,S,M267,NE,L11P22,0.54,70.01,1.73,225.63,0.31
51327,S,M216,NE,L11P25,0.31,48.33,1.38,213.9,0.23
51329,S,M147,NE,L12P2,0.75,82.14,1.82,199,0.41
51330,S,M227,NE,L12P3,0.65,83.4,2.02,259.74,0.32
51333,S,M136,NE,L12P6,0.47,54.86,1.44,169.35,0.32
51335,S,M012,NE,L12P8,0.28,39.45,1.33,184.67,0.21
51336,S,M101,NE,L12P9,0.49,66.59,1.09,147.76,0.45
51337,C,M101,NE,L12P10,0.28,35.5,1.19,149.46,0.24
51338,S,M097,NE,L12P11,0.38,52.06,1.3,177.47,0.29
51341,S,M112,NE,L12P14,0.49,65.33,1.48,198,0.33
51342,C,M112,NE,L12P15,0.36,42,1.51,175.65,0.24
51343,S,M214,NE,L12P16,0.25,33.53,1.6,211.08,0.16
51345,S,M247,NE,L12P18,0.43,54.63,1.5,190.96,0.29
51348,S,M022,NE,L12P21,0.52,63.79,1.3,160.73,0.4
51350,S,M207,NE,L12P23,0.54,60.38,1.54,170.57,0.35
51351,S,M167,NE,L12P24,0.85,97.25,1.68,192.08,0.51
51354,S,M011,NE,L13P2,0.5,69.57,1.29,181.18,0.38
51356,S,M135,NE,L13P4,0.38,49.53,1.41,186.28,0.27
51358,S,M196,NE,L13P6,0.54,66.18,1.36,165.67,0.4
51360,S,M199,NE,L13P8,0.35,49.85,1.44,206.97,0.24
51361,S,M034,NE,L13P9,0.39,50.67,1.38,178.81,0.28
51363,S,M105,NE,L13P11,0.39,54.65,1.46,206.64,0.26
51367,S,M080,NE,L13P15,0.45,55.86,1.38,170.1,0.33
51368,C,M080,NE,L13P16,0.27,33,1.72,208.51,0.16
51370,S,M003,NE,L13P18,0.54,65.84,1.54,188.44,0.35
51371,C,M003,NE,L13P19,0.27,29.94,1.3,143.8,0.21
51372,S,M048,NE,L13P20,0.37,49.36,1.3,174.92,0.28
51375,S,M015,NE,L13P23,0.29,39.15,1.66,220.34,0.18
51377,S,M097,NE,L13P25,0.43,65.92,1.28,197.77,0.33
51378,S,M209,NE,L14P1,0.37,47.28,1.39,176.12,0.27
51381,S,M021,NE,L14P4,0.25,29.85,1.61,194.42,0.15
51383,S,M179,NE,L14P6,0.36,41.43,1.79,205.33,0.2
51385,S,M046,NE,L14P8,0.75,77.21,1.73,177.74,0.43
51387,S,M077,NE,L14P10,1.04,118.87,1.78,203.2,0.58
51389,S,M022,NE,L14P12,0.37,47.11,1.38,175.78,0.27
51391,S,M185,NE,L14P14,0.51,70.68,1.77,243.16,0.29
51393,S,M133,NE,L14P16,0.41,50.94,1.47,183.4,0.28
51395,S,M234,NE,L14P18,0.44,52.65,1.52,182.62,0.29
51396,S,M053,NE,L14P19,0.5,61.45,1.44,175.99,0.35
51397,C,M053,NE,L14P20,0.33,36.54,1.71,187.54,0.19
51399,S,M157,NE,L14P22,0.61,77.93,1.42,181.3,0.43
51402,S,M245,NE,L14P25,0.52,65.86,1.59,203.37,0.32
51404,S,M212,NE,L15P2,0.58,70.25,1.56,189.12,0.37
51405,S,M086,NE,L15P3,0.45,55.84,0.85,105.66,0.53
51408,S,M095,NE,L15P6,0.42,50.2,1.43,170.75,0.29
51410,S,M083,NE,L15P8,0.46,51.15,1.53,171.16,0.3
51412,S,M275,NE,L15P10,0.49,62.36,1.36,172.61,0.36
51413,S,M009,NE,L15P11,0.58,79.52,1.44,197.09,0.4
51415,S,M058,NE,L15P13,0.53,65.98,1.39,172.05,0.38
51418,S,M043,NE,L15P16,0.46,53.97,1.62,190,0.28
51420,S,M248,NE,L15P18,0.41,51.85,1.32,167.63,0.31
51421,S,M288,NE,L15P19,0.39,53.42,1.47,201.43,0.27
51423,S,M001,NE,L15P21,0.48,64.03,1.44,192.85,0.33
51424,C,M001,NE,L15P22,0.33,36.26,1.57,172.62,0.21
